26|10|AP Freerange Client|AP MNN native BlackBerry client.|238|0|f|f|f|11242|2008-10-09 21:45:07.096561|2008-11-21 19:00:06.609|AP FreeRange BlackBerry Client|AP FreeRange BlackBerry Client|apfr
30|10|Freerange BB Client|AP MNN native BlackBerry client.|238|0|f|f|f|36474|2008-11-21 19:00:07.609|2009-04-09 23:15:08.83029|AP FreeRange BlackBerry Client|AP FreeRange BlackBerry Client|apfr
75|19|AP BlackBerry Client|AP MNN BlackBerry Client|238|0|f|f|f|1016799|2012-06-05 12:45:54.204247|9999-12-31 00:00:00|AP BlackBerry Client|AP MNN BlackBerry Client|maem
46|19|AP Maemo Client|AP MNN Nokia Maemo client.|238|0|f|f|f|145691|2009-05-28 18:30:09.683164|2012-06-05 12:45:53.204247|AP BlackBerry Client|AP MNN BlackBerry Client|maem
76|40|Windows Phone News Client|Native Windows Phone news client|85|0|f|f|f|1114761|2012-07-17 00:31:12.928494|9999-12-31 00:00:00|Windows Phone News Client|Native Windows Phone news client|wp7
71|40|Windows Phone 7 News Client|Native Windows Phone 7 news client.|85|0|f|f|f|616225|2011-10-24 05:31:42.921118|2012-07-17 00:31:11.928494|Windows Phone News Client|Native Windows Phone news client|wp7
69|40|Windows Phone 7 News Client|Native Windows Phone 7 news client.|85|0|f|f|f|387487|2010-11-23 10:31:59.782518|2011-10-24 05:31:41.921118|Windows Phone News Client|Native Windows Phone news client|wapp
77|43|Mobile Web Tablet|Mobile Web Tablet off platform|85|0|f|f|f|1166001|2012-09-20 00:46:00.872702|9999-12-31 00:00:00|Mobile Web Tablet|Mobile Web Tablet off platform|wtbt
78|44|Advance Internet - NOLA|NOLA portal|5601|0|f|f|f|1174706|2012-12-03 12:45:56.921452|9999-12-31 00:00:00|Advance Internet - NOLA|NOLA portal|nola
80|45|Android Tablet News Client|Native Android white label news client for tablets|85|0|f|f|f|1212664|2013-10-24 02:46:03.97868|9999-12-31 00:00:00|Android Tablet News Client|Native Android white label news client for tablets|apad
79|45|Android Table News Client|Native Android white label news client for tablets|85|0|f|f|f|1212328|2013-10-22 02:45:58.976158|2013-10-24 02:46:02.97868|Android Tablet News Client|Native Android white label news client for tablets|apad
